name|ra|dec|vmag|class|bii|bv_color|lii|radvel
HR 1053|03 24 02.50|-69 37 28.9|6.15|STAR G0V|-42.15400|0.48|286.06700|20
HR 1054|03 27 33.41|-35 40 53.0|5.71|STAR K2III|-55.84660|1.29|237.27200|30
HR 1055|03 35 12.41|+73 20 48.8|6.57|STAR A0V|14.13480|0.03|134.09800|-9
HR 1056|03 31 29.40|+49 12 34.9|6.29|STAR A0V|-5.74380|0.09|147.90300|-23
HR 1057|03 31 11.80|+43 54 17.0||CV CLASSICAL NOVA|-10.10410||150.95500|29
HR 1058|03 28 11.50|-35 51 11.9|6.50|STAR A1V|-55.70780|0.13|237.56400|15
HR 1059|03 31 49.10|+49 24 02.9|6.39|STAR B9III|-5.55670|0.09|147.83700|-6
HR 106|00 28 12.70|+16 26 42.0|6.06|STAR K5III|-46.06390|1.58|114.89300|-7
HR 1060|03 29 39.10|-06 48 18.0|5.99|STAR G5|-47.34130|1.02|191.85900|26
HR 1061|03 30 24.50|+11 20 11.0|5.14|STAR A0V|-35.54550|-0.03|173.32500|0
HR 1062|03 29 36.00|-12 40 28.9|5.59|STAR A5IV|-50.32350|0.17|199.54700|15
HR 1063|03 32 08.59|+48 01 25.0|5.47|STAR B8III|-6.65070|-0.10|148.68000|1
HR 1064|03 25 36.19|-69 20 11.0|5.96|STAR F3IV|-42.24420|0.42|285.65400|14
HR 1065|03 31 20.81|+27 34 18.8|5.96|STAR A2V|-23.17150||161.21100|6
HR 1066|03 30 52.39|+12 56 12.1|4.11|STAR K0II|-34.31580|1.12|172.06800|15
HR 1067|03 30 45.41|+06 11 19.0|5.94|STAR G8III|-39.07440|0.96|178.04100|11
HR 1068|03 33 32.11|+58 45 54.0|6.40|STAR A4III|2.24010|0.14|142.63800|7
HR 1069|03 32 26.30|+46 03 24.8|5.31|STAR F4III|-8.22430|0.40|149.87000|-49
HR 107|00 28 20.09|+10 11 22.9|6.04|STAR F6V|-52.26370|0.43|113.61800|-10
HR 1070|03 30 37.10|-05 04 31.1|4.73|STAR B9V|-46.17590|-0.09|189.96000|15
