name|ra|dec|vmag|class|bii|bv_color|lii|radvel
HR 2129|06 01 13.10|-25 25 04.1|6.05|STAR A1V|-21.74330|0.02|231.28500|12
HR 213|00 47 01.51|+11 58 26.0|5.50|STAR G8II|-50.88320|0.97|121.22100|-1
HR 2130|06 03 27.29|+19 41 26.2|5.14|STAR B8III|-1.17560|-0.11|190.02800|12
HR 2131|06 01 16.39|-33 54 42.1|5.55|STAR K5III|-24.50540|1.58|240.02200|19
HR 2132|06 05 03.41|+42 58 54.1|5.87|STAR F3V|10.37020|0.30|169.69600|34
HR 2133|06 03 24.70|+11 40 50.9|6.08|STAR A0V|-5.10520|-0.04|197.02000|-13
HR 2134|06 04 07.20|+23 15 47.9|4.16|STAR G7III|0.71520|0.82|186.99300|20
HR 2135|06 03 55.20|+20 08 17.9|4.63|STAR B2I|-0.86040|0.28|189.69200|17
HR 2136|06 02 33.79|-14 29 49.9|6.20|STAR G5|-17.24810|0.96|220.71700|45
HR 2137|06 05 02.59|+37 57 51.1|6.34|STAR K0III|8.01520||174.18500|5
HR 2138|06 00 49.20|-51 12 59.0|5.67|STAR A0|-28.52690|0.20|258.85500|5
HR 2139|06 05 34.01|+33 35 57.1|6.23|STAR B9|6.02430|-0.08|178.10000|25
HR 214|00 47 13.61|+19 34 44.0|6.13|STAR F0V|-43.28170|0.27|121.56900|0
HR 2140|06 03 15.50|-26 17 03.8|5.04|STAR K3III|-21.61940|1.34|232.33200|182
HR 2141|06 06 08.50|+35 23 15.0|6.12|STAR G0V|6.98400|0.60|176.57700|-12
HR 2142|06 04 13.51|-06 42 33.1|5.21|STAR B2V|-13.53700|-0.06|213.60000|25
HR 2143|06 06 35.09|+38 28 58.1|5.36|STAR A4|8.52690|0.25|173.86700|18
HR 2144|06 04 58.20|+05 25 12.0|5.67|STAR|-7.77840|1.04|202.73100|20
HR 2145|06 04 58.39|+04 09 31.0|5.63|STAR G4III|-8.37570|1.04|203.85300|33
HR 2146|06 06 22.51|+29 30 45.0|6.08|STAR M3II|4.20450|1.73|181.77800|-36
HR 2147|06 07 26.90|+41 51 15.1|6.12|STAR K0III|10.24120|1.22|170.92000|6
HR 2148|06 04 59.09|-16 29 03.8|4.93|STAR A2|-17.52860|0.24|222.86700|20
HR 2149|06 04 20.30|-32 10 21.0|5.65|STAR B2V|-23.36120|-0.19|238.42600|93
HR 215|00 47 20.30|+24 16 01.9|4.06|STAR K1II|-38.59500|1.12|121.73700|-24
HR 2150|06 05 27.00|-10 14 34.1|5.87|STAR|-14.81170|0.37|217.01400|33
HR 2151|06 02 09.19|-60 05 48.8|6.45|STAR M4III|-29.33770|1.58|268.96600|-51
HR 2152|06 09 59.09|+58 56 08.9|5.36|STAR G8III|17.93770|1.09|155.17500|31
HR 2153|06 08 22.99|+41 03 20.2|6.36|STAR G9III|10.02930|1.05|171.72200|-87
HR 2154|06 06 38.69|-04 11 38.0|5.38|STAR B5IV|-11.87180|-0.13|211.57200|20
HR 2155|06 06 09.29|-14 56 07.1|4.67|STAR A1V|-16.63790|0.05|221.50900|32
HR 2156|06 05 45.70|-24 11 44.2|6.95|STAR M6III|-20.34110|1.63|230.46200|12
HR 2157|06 04 28.39|-45 02 12.1|6.35|STAR G0IV|-26.78300|0.52|252.12600|26
HR 2158|06 04 40.20|-45 04 44.0|5.93|STAR F4V|-26.75820|0.49|252.18000|27
HR 2159|06 07 34.30|+14 46 05.9|4.42|STAR B3V|-2.72130|-0.17|194.80700|24
HR 216|00 47 23.59|+06 44 26.9|5.99|STAR G8III|-56.11680|0.94|121.13100|14
HR 2160|06 05 27.10|-35 30 49.0|5.80|STAR A1V|-24.15860|0.02|241.98000|24
HR 2161|06 06 51.89|-11 10 25.0|6.66|STAR B3V|-14.89810|-0.15|218.03800|13
HR 2162|06 04 46.90|-48 27 31.0|6.58|STAR G6V|-27.42680|0.72|255.90200|23
HR 2163|06 06 31.99|-23 06 38.2|5.47|STAR A0|-19.77550|0.08|229.45800|-15
HR 2164|06 06 05.50|-29 45 31.0|5.81|STAR A1V|-22.22220|0.05|236.08100|7
HR 2165|06 12 51.10|+65 43 05.9|5.32|STAR K1III|20.75170|1.34|148.62400|7
HR 2166|06 06 57.60|-21 48 46.1|5.78|STAR M4III|-19.19480|1.64|228.22300|8
HR 2167|06 08 47.21|+08 40 12.0|6.55|STAR B9V|-5.39690|-0.07|200.30900|35
HR 2168|06 07 41.59|-19 09 56.9|5.31|STAR M2III|-18.01010|1.68|225.71800|29
HR 2169|06 09 32.40|+22 11 24.0|5.93|STAR K4I|1.28370|1.63|188.53900|8
HR 217|00 47 54.79|+20 55 31.1|6.54|STAR F8V|-41.93890|0.50|121.82600|1
HR 2170|06 07 03.70|-34 18 42.8|5.83|STAR B4IV|-23.48360|-0.13|240.83500|18
HR 2171|06 06 40.99|-42 17 55.0|6.12|STAR A0|-25.76020|0.25|249.25800|2
HR 2172|06 11 46.01|+52 38 49.9|6.30|STAR A5III|15.63260|0.14|161.29300|11
HR 2173|06 09 43.99|+23 06 47.9|5.75|STAR B2I|1.76880|0.21|187.75200|16
HR 2174|06 08 57.89|+02 29 57.8|5.73|STAR A3V|-8.27650|0.07|205.80600|34
HR 2175|06 11 36.50|+48 42 47.2|6.82|STAR A8V|13.95090||164.97100|29
HR 2176|06 11 36.60|+48 42 40.0|6.09|STAR A3V|13.95040|0.10|164.97300|31
HR 2177|06 07 31.61|-37 15 11.2|5.02|STAR B9IV|-24.26280|-0.11|243.93800|45
HR 2178|06 07 01.90|-45 05 29.0|6.51|STAR K1III|-26.35440|1.16|252.29700|82
HR 2179|06 09 36.19|-05 42 40.0|6.17|STAR F3IV|-11.89560|0.34|213.29500|-1
HR 218|00 47 43.30|-18 03 41.0|5.70|STAR K3III|-80.89280|1.30|117.34300|2
HR 2180|06 08 57.89|-22 25 39.0|5.50|STAR A0IV|-18.99900|-0.01|229.01100|44
HR 2181|06 07 52.90|-42 09 14.0|5.50|STAR A0V|-25.50940|0.00|249.16400|31
HR 2182|06 09 20.30|-18 07 34.0|6.35|STAR B9V|-17.23910|-0.03|224.88000|33
HR 2183|06 09 34.30|-14 35 03.1|5.56|STAR K2III|-15.74070|1.16|221.53200|31
HR 2184|06 11 01.80|+18 07 45.8|6.33|STAR K1II|-0.37060|1.35|192.26400|-3
HR 2185|06 11 32.30|+24 25 13.1|5.80|STAR K0III|2.75980|1.11|186.80400|22
HR 2186|06 09 47.90|-22 46 27.1|5.71|STAR F6V|-18.95250|0.44|229.42700|22
HR 2187|06 08 34.61|-44 21 22.0|6.27|STAR B8II|-25.91900|-0.15|251.57000|17
HR 2188|06 13 45.31|+51 10 21.0|6.04|STAR K1III|15.30130|1.06|162.81700|11
HR 2189|06 12 20.09|+32 41 35.9|5.78|STAR M2III|6.84160|1.66|179.57900|-51
HR 219|00 49 06.00|+57 48 56.9|3.44|STAR F9V|-5.05440|0.57|122.61900|9
HR 2190|06 11 51.41|+21 52 07.0|6.56|STAR M0I|1.59930|2.25|189.08000|17
HR 2191|06 11 27.89|+13 38 19.0|6.04|STAR A0V|-2.43960|0.00|196.25300|13
HR 2192|06 09 47.21|-26 42 02.9|6.27|STAR G8III|-20.40110|1.01|233.30400|-14
HR 2193|06 12 01.30|+19 47 26.2|5.75|STAR B9V|0.63450|-0.07|190.92100|31
HR 2194|06 06 09.41|-66 02 22.9|5.71|STAR A0V|-29.18520|-0.03|275.79600|18
HR 2195|06 11 01.30|-06 45 15.1|6.15|STAR A0|-12.04500|0.01|214.41000|5
HR 2196|06 07 03.41|-62 09 16.9|5.05|STAR K2III|-28.89350|1.25|271.36300|22
HR 2197|06 12 19.10|+22 54 29.9|6.39|STAR M1I|2.19170|2.24|188.21800|22
HR 2198|06 12 03.29|+16 07 50.2|4.95|STAR B5V|-1.11770|-0.14|194.13400|22
HR 2199|06 11 56.40|+14 12 32.0|4.48|STAR B3IV|-2.06480|-0.18|195.80700|24
HR 22|00 09 02.40|+18 12 42.8|5.53|STAR G9III|-43.50920|1.04|108.99100|-23
HR 220|00 48 01.10|-21 43 21.0|5.57|STAR B9V|-84.53860|-0.06|114.55800|21
HR 2200|06 10 34.61|-27 09 15.1|5.72|STAR K1III|-20.39830|1.07|233.82300|1
HR 2201|06 15 40.61|+59 59 57.1|5.35|STAR K3III|19.01010|1.34|154.42700|12
HR 2202|06 11 43.70|-04 39 56.2|6.18|STAR B9|-10.95360|-0.08|212.58400|23
HR 2203|06 10 10.30|-40 21 13.0|5.58|STAR M2II|-24.62710|1.68|247.36700|-19
HR 2204|06 09 23.30|-49 33 46.1|6.49|STAR F7V|-26.89620|0.52|257.28200|60
HR 2205|06 11 51.79|-06 33 01.1|5.05|STAR B2V|-11.76710|-0.20|214.31900|29
HR 2206|06 11 13.51|-26 28 55.9|6.09|STAR A0V|-20.02250|-0.04|233.20900|24
HR 2207|06 13 33.41|+18 40 49.1|6.58|STAR B8V|0.41970|-0.08|192.06900|20
HR 2208|06 13 12.60|+10 37 39.0|6.45|STAR G2V|-3.50490|0.67|199.10500|3
HR 2209|06 18 50.81|+69 19 10.9|4.80|STAR A0V|22.46130|0.03|145.15900|-7
HR 221|00 48 17.40|+07 18 00.0|5.93|STAR G8III|-55.56330|1.10|121.55100|0
HR 2210|06 12 44.40|-02 30 15.8|6.62|STAR A2V|-9.74970|0.05|210.74200|-4
HR 2211|06 10 39.91|-45 16 54.8|6.31|STAR A0V|-25.77450|-0.03|252.66600|20
HR 2212|06 10 17.90|-54 58 07.0|4.81|STAR B3III|-27.68360|-0.23|263.30300|31
HR 2213|06 12 46.30|-17 45 47.2|6.52|STAR B3III|-16.34550|-0.17|224.87700|8
HR 2214|06 14 28.61|+17 54 23.0|5.88|STAR A5V|0.24130|0.22|192.85300|29
HR 2215|06 17 54.79|+61 30 55.1|4.98|STAR M3III|19.81100|1.83|153.03200|11
HR 2216|06 14 52.61|+22 30 24.1|3.28|STAR M3III|2.51830|1.60|188.85300|19
HR 2217|06 15 39.00|+36 08 55.0|6.92|STAR F4IV|9.04510|0.45|176.80500|7
HR 2218|06 13 54.29|-03 44 29.0|5.83|STAR G8III|-10.05220|0.94|211.99500|50
HR 2219|06 15 22.70|+29 29 53.2|4.35|STAR G8III|5.92050|1.02|182.72700|20
HR 222|00 48 22.99|+05 16 50.2|5.75|STAR K2V|-57.58280|0.88|121.51300|-13
HR 2220|06 14 50.90|+19 09 23.0|5.20|STAR F6V|0.91560|0.44|191.79700|36
HR 2221|06 08 44.21|-68 50 35.9|5.06|STAR B8V|-28.99610|-0.08|279.00900|18
HR 2222|06 15 08.50|+13 51 04.0|5.91|STAR B1V|-1.55380|-0.23|196.49300|36
HR 2223|06 15 25.10|+16 08 35.2|5.30|STAR B7V|-0.40260|-0.14|194.51000|22
HR 2224|06 14 36.70|-04 34 05.9|5.83|STAR B5V|-10.26830|-0.17|212.82500|20
HR 2225|06 13 45.10|-23 51 42.8|6.39|STAR G5|-18.52360|0.72|230.85300|22
HR 2226|06 13 33.29|-29 23 46.0|6.54|STAR B7V|-20.57310|-0.10|236.30900|18
HR 2227|06 14 51.31|-06 16 28.9|3.98|STAR K1III|-10.97900|1.32|214.40500|-5
HR 2228|06 17 34.70|+46 25 27.1|6.52|STAR F0V|13.88880|0.27|167.54700|-8
HR 2229|06 15 45.00|+12 33 04.0|5.33|STAR B9II|-2.04230|-0.02|197.70800|13
HR 223|00 48 50.09|+50 58 05.9|4.89|STAR B9III|-11.90120|-0.11|122.51300|9
HR 2230|06 16 19.01|+23 58 12.0|6.08|STAR G8III|3.50360|0.90|187.72000|-21
HR 2231|06 15 40.10|+06 03 58.0|6.07|STAR B6V|-5.12790|-0.13|203.42300|26
HR 2232|06 15 46.99|+04 17 01.0|6.64|STAR B3IV|-5.93810|-0.17|205.01900|13
HR 2233|06 15 34.30|-00 30 43.9|5.65|STAR F6V|-8.20880|0.50|209.27600|-37
HR 2234|06 15 29.69|-04 54 55.1|5.99|STAR A5IV|-10.22790|0.09|213.24000|31
HR 2235|06 16 23.81|+17 10 53.0|6.39|STAR K5II|0.29800|1.58|193.70800|39
HR 2236|06 15 54.00|+01 10 09.1|6.37|STAR F5IV|-7.36090|0.46|207.80800|3
HR 2237|06 15 25.99|-09 02 07.1|6.10|STAR B9III|-12.07090|-0.08|216.99600|19
HR 2238|06 19 37.39|+59 00 38.9|4.48|STAR A2V|19.11670|0.01|155.59400|-4
HR 2239|06 18 16.90|+46 21 38.2|6.38|STAR K2III|13.97200|1.11|167.65900|0
HR 224|00 48 40.99|+07 35 06.0|4.43|STAR K4III|-55.28030|1.50|121.73300|32
HR 2240|06 16 58.70|+23 44 26.9|6.25|STAR B3I|3.52870|0.45|187.99400|13
HR 2241|06 16 26.59|+12 16 19.9|5.04|STAR F5IV|-2.02580|0.42|198.03400|9
HR 2242|06 15 08.40|-20 16 19.9|5.91|STAR K0|-16.83770|1.32|227.51000|52
HR 2243|06 15 17.50|-18 28 36.1|5.99|STAR K0|-16.08650|1.06|225.80900|65
HR 2244|06 15 44.90|-13 43 05.9|5.01|STAR B9V|-14.01830|-0.08|221.36900|38
HR 2245|06 11 15.00|-65 35 21.8|5.01|STAR M2III|-28.64530|1.62|275.30700|35
HR 2246|06 16 21.19|+01 04 49.1|6.63|STAR B6V|-7.30150|-0.05|207.94100|22
HR 2247|06 17 06.60|+09 56 33.0|5.39|STAR A2V|-2.98540|0.10|200.16500|12
HR 2248|06 16 58.39|+07 03 11.2|6.57|STAR B7III|-4.37780|-0.12|202.70200|41
HR 2249|06 16 07.70|-16 37 04.1|5.92|STAR B2V|-15.14580|-0.17|224.13100|14
HR 225|00 48 58.70|+16 56 26.2|5.07|STAR F8V|-45.92710|0.51|122.08600|2
HR 2250|06 17 33.29|+14 03 29.9|6.59|STAR A0V|-0.94020|-0.03|196.58900|3
HR 2251|06 17 16.10|+05 06 01.1|5.71|STAR F9V|-5.22910|0.61|204.46700|13
HR 2252|06 15 57.19|-29 47 17.9|6.67|STAR K4III|-20.22100|1.55|236.89500|36
HR 2253|06 18 05.59|+14 22 58.1|6.16|STAR A3V|-0.67150|0.01|196.36500|8
HR 2254|06 17 03.50|-22 42 54.0|6.07|STAR G0V|-17.38350|0.56|230.04400|-4
HR 2255|06 17 35.21|-10 43 31.1|6.75|STAR F0|-12.33030|0.35|218.78900|27
HR 2256|06 16 33.10|-35 08 26.2|4.37|STAR K0III|-21.88910|1.00|242.34700|24
HR 2257|06 22 03.60|+59 22 19.9|5.94|STAR A3V|19.53680||155.35400|-24
HR 2258|06 19 01.80|+17 19 30.0|6.32|STAR B9III|0.91960|-0.07|193.88000|0
HR 2259|06 18 40.49|+09 02 49.9|6.24|STAR K0|-3.06760|0.87|201.13800|-14
HR 226|00 49 48.79|+41 04 44.0|4.53|STAR B5V|-21.79180|-0.15|122.60200|-24
HR 2260|06 17 41.71|-16 48 56.9|5.14|STAR K3III|-14.88570|1.30|224.47800|-8
HR 2261|06 10 14.40|-74 45 11.2|5.09|STAR G6V|-28.80160|0.72|285.75800|35
HR 2262|06 16 35.59|-39 15 51.8|6.00|STAR A2V|-23.13830|0.16|246.60200|-4
HR 2263|06 17 01.20|-37 44 15.0|5.53|STAR K1III|-22.60540|1.14|245.04600|67
HR 2264|06 21 46.10|+53 27 07.9|5.36|STAR F5III|17.33160|0.43|161.14600|-1
HR 2265|06 17 09.50|-37 15 11.2|5.87|STAR A3V|-22.43190|0.14|244.55500|21
HR 2266|06 18 13.70|-19 58 00.8|5.52|STAR B2V|-16.05110|-0.18|227.51900|23
HR 2267|06 18 50.59|-09 23 25.1|5.36|STAR K1III|-11.47000|1.24|217.69900|7
HR 2268|06 18 48.79|-15 01 28.9|6.06|STAR M0III|-13.89560|1.66|222.91200|51
HR 2269|06 20 04.20|+14 39 04.0|5.69|STAR K3I|-0.12310|1.61|196.35500|36
HR 227|00 49 25.61|-13 33 41.0|5.59|STAR K5III|-76.42500|1.30|120.84900|4
HR 2270|06 19 07.90|-08 35 11.0|6.22|STAR B9V|-11.05300|-0.04|216.99400|4
HR 2271|06 18 58.99|-20 55 34.0|5.81|STAR B4IV|-16.27120|-0.15|228.50800|31
HR 2272|06 21 12.10|+29 32 28.0|6.43|STAR A1V|7.06330|0.06|183.27900|21
HR 2273|06 19 42.79|-07 49 23.2|5.27|STAR B2V|-10.58680|-0.19|216.36200|29
HR 2274|06 16 18.50|-59 12 49.0|6.43|STAR G0V|-27.46950|0.59|268.17400|-3
HR 2275|06 19 59.59|-02 56 39.8|4.90|STAR M1III|-8.33650|1.60|211.97300|47
HR 2276|06 20 52.30|+11 45 23.0|6.54|STAR B5III|-1.31540|-0.10|199.00000|19
HR 2277|06 21 25.90|+17 45 49.0|6.35|STAR|1.63120||193.76300|10
HR 2278|06 17 51.70|-52 43 59.2|6.41|STAR K2III|-26.20290|1.46|261.04600|-5
HR 2279|06 19 40.99|-34 23 48.1|5.78|STAR B9V|-21.03990|-0.08|241.81400|26
HR 228|00 49 13.90|-24 08 11.0|5.90|STAR K2III|-86.96710|0.95|113.37500|23
HR 2280|06 21 25.80|+02 16 07.0|6.31|STAR A4V|-5.62720|0.24|207.47100|-28
HR 2281|06 18 46.80|-50 21 33.1|7.04|STAR G2I|-25.57980|0.83|258.49500|17
HR 2282|06 20 18.79|-30 03 47.9|3.02|STAR B2V|-19.43350|-0.19|237.52200|32
HR 2283|06 15 05.90|-71 42 10.1|6.64|STAR F8V|-28.49260|0.56|282.27700|14
HR 2284|06 21 24.70|-11 46 23.9|5.64|STAR B1V|-11.93840|-0.02|220.17100|16
HR 2285|06 28 14.59|+70 32 08.2|5.97|STAR A4V|23.57580||144.13700|-30
HR 2286|06 22 57.60|+22 30 49.0|2.88|STAR M3III|4.16920|1.64|189.72700|55
HR 2287|06 22 36.50|+12 34 12.0|6.00|STAR F0III|-0.55830||198.48200|21
HR 2288|06 20 36.31|-34 08 38.0|5.53|STAR B1V|-20.77670|-0.19|241.62600|54
HR 2289|06 24 53.90|+49 17 17.2|4.91|STAR K5I|16.17450|1.97|165.35400|5
HR 229|00 48 56.69|-46 41 52.1|6.27|STAR G8III|-70.42420|0.90|304.20800|12
HR 2290|06 20 06.10|-48 44 28.0|6.60|STAR G3V|-25.01010|0.66|256.80300|60
HR 2291|06 26 25.80|+56 17 06.0|5.64|STAR A3V|18.99560|0.24|158.63200|-10
HR 2292|06 23 18.50|+03 45 51.8|6.40|STAR B3V|-4.51890|-0.15|206.35700|30
HR 2293|06 26 48.91|+58 25 01.9|5.21|STAR K4III|19.78340|1.53|156.53100|-3
HR 2294|06 22 42.00|-17 57 20.9|1.98|STAR B1II|-14.26790|-0.23|226.06000|34
HR 2295|06 23 22.70|-04 41 13.9|6.67|STAR A2V|-8.37140|0.06|213.93000|17
HR 2296|06 22 06.79|-33 26 11.0|3.85|STAR G7II|-20.24410|0.88|241.02700|-3
HR 2297|06 24 52.61|+29 42 25.9|6.71|STAR B8III|7.85020|-0.06|183.49600|29
HR 2298|06 23 46.10|+04 35 34.1|4.44|STAR A5IV|-4.03300|0.18|205.67500|15
HR 2299|06 23 46.49|+04 35 44.2|6.72|STAR F5V|-4.03020|0.45|205.67300|16
HR 23|00 09 02.40|-54 00 06.8|6.33|STAR G4IV|-62.01600|0.74|316.25300|1
HR 230|00 49 52.80|+27 42 38.9|7.00|STAR F4III|-35.15960|0.36|122.51000|5
HR 2300|06 24 02.30|+08 53 04.9|6.26|STAR B8V|-1.97410|-0.08|201.90300|3
HR 2301|06 23 36.00|-09 52 27.8|6.19|STAR K5|-10.62820|1.84|218.66600|29
HR 2302|06 24 52.90|+16 03 24.8|6.33|STAR G9III|1.56100|1.08|195.65800|77
HR 2303|06 23 46.01|-15 04 18.1|6.24|STAR K2|-12.83090|1.53|223.47400|37
HR 2304|06 25 32.90|+23 19 36.8|6.06|STAR A2V|5.07370|-0.03|189.28000|-27
HR 2305|06 24 10.30|-11 31 49.1|5.22|STAR K3III|-11.22400|1.24|220.24600|-26
HR 2306|06 23 47.59|-19 47 07.1|6.60|STAR B8III|-14.78060|-0.15|227.89300|24
HR 2307|06 23 14.40|-31 47 24.0|6.34|STAR G8III|-19.45420|0.89|239.47000|15
HR 2308|06 25 28.10|+14 43 18.8|6.24|STAR|1.06300|2.34|196.90500|13
HR 2309|06 24 20.50|-12 57 45.0|6.12|STAR B5V|-11.80520|-0.08|221.58200|8
HR 231|00 49 53.21|+27 42 37.1|7.10|STAR F5III|-35.16020||122.51200|7
HR 2310|06 25 13.10|+07 05 08.9|5.98|STAR F7I|-2.55460|1.22|203.63200|32
HR 2311|06 23 55.90|-25 34 40.1|5.63|STAR K5III|-17.03640|1.56|233.44200|34
HR 2312|06 25 18.41|+01 30 04.0|6.66|STAR B9V|-5.12190|-0.04|208.60300|7
HR 2313|06 25 16.39|-00 56 46.0|5.87|STAR F8V|-6.25180|0.56|210.78500|44
HR 2314|06 27 51.10|+47 24 19.1|6.56|STAR A0V|15.89030|-0.04|167.35700|-12
HR 2315|06 25 46.61|+02 16 19.9|6.51|STAR A0V|-4.66240|-0.03|207.97100|24
HR 2316|06 24 01.01|-36 42 28.1|5.62|STAR G6III|-20.96030|1.04|244.46200|53
HR 2317|06 25 47.11|-03 53 21.1|6.35|STAR G9III|-7.47580|1.02|213.48400|12
HR 2318|06 24 43.90|-28 46 48.0|6.39|STAR G2IV|-18.07270|0.62|236.62500|-5
HR 2319|06 27 35.50|+32 33 47.2|6.43|STAR K0|9.64370|1.26|181.17200|57
HR 232|00 49 33.41|-23 21 42.1|6.28|STAR A3V|-86.20950|0.13|116.38700|12
HR 2320|06 22 55.80|-56 22 12.0|5.61|STAR A0|-26.15610|0.24|265.18000|7
HR 2321|06 25 58.80|-07 53 39.1|6.40|STAR A4V|-9.22710|0.14|217.12500|31
HR 2322|06 23 37.70|-52 10 52.0|5.98|STAR G8III|-25.23040|1.04|260.64500|11
HR 2323|06 24 44.50|-40 17 03.1|6.31|STAR B9V|-21.94610|-0.05|248.15900|23
HR 2324|06 26 39.60|-01 30 25.9|5.87|STAR A3V|-6.19960|0.08|211.44600|10
HR 2325|06 26 34.51|-04 35 49.9|6.15|STAR B2V|-7.61970|-0.14|214.21100|10
HR 2326|06 23 57.10|-52 41 44.9|-0.72|STAR F0II|-25.29220|0.15|261.21200|21
HR 2327|06 26 58.70|+00 50 26.9|6.71|STAR A1V|-5.05440|0.04|209.38500|10
HR 2328|06 26 44.90|-07 30 41.0|6.27|STAR A0V|-8.88650|-0.04|216.86300|20
HR 2329|06 25 29.90|-35 03 50.0|6.25|STAR K3III|-20.13480|1.36|242.91000|19
HR 233|00 50 43.61|+64 14 51.0|5.39|STAR G0III|1.37600|0.49|122.85500|3
HR 2330|06 27 56.59|+20 29 46.0|6.22|STAR A2V|4.26390|0.01|192.05800|39
HR 2331|06 30 47.21|+58 09 46.1|5.88|STAR K0III|20.19010|0.94|156.97100|36
HR 2332|06 28 34.10|+30 29 35.2|5.55|STAR F8I|8.91580|0.68|183.14600|22
HR 2333|06 27 20.40|+02 54 29.2|5.55|STAR G9III|-4.02270|1.04|207.58600|53
HR 2334|06 27 13.80|+00 17 57.1|5.20|STAR K1II|-5.24700|1.18|209.89700|33
HR 2335|06 27 15.60|-00 16 34.0|5.55|STAR K5III|-5.50380|1.38|210.41400|39
HR 2336|06 23 46.90|-58 32 38.0|6.48|STAR A3V|-26.41570|0.12|267.59100|23
HR 2337|06 23 01.30|-63 40 59.2|6.27|STAR M1III|-27.22710|1.60|273.27900|-14
HR 2338|06 30 03.00|+46 41 08.2|5.90|STAR|15.95500|1.44|168.19800|-47
HR 2339|06 28 56.59|+26 58 04.1|6.47|STAR F5|7.41500||186.37000|-70
HR 234|00 50 18.31|+45 00 07.9|6.15|STAR A0|-17.86900|0.01|122.72100|2
HR 2340|06 28 28.01|+16 14 17.9|6.23|STAR G5|2.40760|0.90|195.89800|41
HR 2341|06 24 48.19|-52 48 23.0|6.51|STAR K5III|-25.18980|1.70|261.36200|36
HR 2342|06 28 18.79|+10 18 14.0|6.15|STAR K2III|-0.38040|1.15|201.13800|-20
HR 2343|06 28 57.79|+20 12 43.9|4.15|STAR B6III|4.34560|-0.13|192.42100|39
HR 2344|06 27 57.60|-04 45 43.9|5.06|STAR B2V|-7.38600|-0.17|214.51600|25
HR 2345|06 24 13.70|-60 16 52.0|5.80|STAR A0V|-26.63240|0.00|269.51800|10
HR 2346|06 40 16.80|+79 35 57.8|6.54|STAR A1V|26.14690||134.52000|-7
HR 2347|06 28 16.80|+01 54 43.9|6.48|STAR B9V|-4.27300|-0.07|208.58000|42
HR 2348|06 25 43.61|-48 10 37.9|5.76|STAR B9V|-23.96900|-0.06|256.44900|6
HR 2349|06 27 11.21|-25 51 24.1|6.07|STAR F9V|-16.46630|0.53|234.00500|36
HR 235|00 50 07.61|-10 38 39.8|5.19|STAR F7IV|-73.51330|0.50|121.79700|8
HR 2350|06 44 30.19|+82 06 55.1|6.65|STAR A5V|26.61420|0.17|131.75400|6
HR 2351|06 29 00.00|+11 01 09.8|6.59|STAR A9IV|0.10140||200.58300|41
HR 2352|06 22 38.21|-69 59 03.1|5.56|STAR K5III|-27.81510|1.51|280.35400|16
HR 2353|06 27 07.49|-37 53 44.2|6.48|STAR F3V|-20.75920|0.39|245.87900|30
HR 2354|06 24 26.30|-63 25 44.0|6.46|STAR G3III|-27.03990|0.66|273.01600|23
HR 2355|06 29 14.90|+02 38 46.0|6.16|STAR|-3.72050|1.54|208.03900|9
HR 2356|06 28 49.01|-07 01 58.1|4.60|STAR B3V|-8.21400|-0.10|216.66100|20
HR 2357|06 28 49.51|-07 02 03.8|5.40|STAR B3|-8.21290|-0.07|216.66300|18
HR 2358|06 28 49.51|-07 02 03.8|5.60|STAR B3|-8.21290||216.66300|23
HR 2359|06 28 37.30|-17 27 58.0|5.77|STAR G5|-12.78170|1.12|226.20400|18
HR 236|00 48 35.40|-74 55 23.9|5.07|STAR K5III|-42.20350|1.37|303.18200|-9
HR 2360|06 24 55.61|-63 49 40.1|6.27|STAR B6V|-27.03520|-0.13|273.46800|-1
HR 2361|06 28 10.10|-32 34 48.0|4.48|STAR B4V|-18.75660|-0.17|240.64100|41
HR 2362|06 30 05.50|+09 01 45.1|6.57|STAR A0III|-0.58360|0.14|202.47100|14
HR 2363|06 40 28.80|+77 59 44.9|5.73|STAR|25.92330|1.47|136.28700|-14
HR 2364|06 28 39.19|-32 22 16.0|5.74|STAR B4V|-18.58670|-0.17|240.47400|23
HR 2365|06 37 54.91|+73 41 44.2|6.24|STAR F2|25.01860|0.38|140.94700|6
HR 2366|06 31 10.10|+16 56 19.0|6.20|STAR K2III|3.30500|1.16|195.57500|27
HR 2367|06 30 11.30|-10 04 53.0|5.93|STAR K0|-9.26180|1.38|219.57800|20
HR 2368|06 28 42.29|-41 04 27.8|6.32|STAR F2V|-21.47150|0.40|249.21600|17
HR 2369|06 27 04.01|-58 00 07.9|5.82|STAR K3III|-25.89720|1.28|267.07900|13
HR 237|00 51 16.39|+61 48 20.9|6.07|STAR K2I|-1.06580|1.88|122.91200|-6
HR 2370|06 31 09.50|+11 15 02.9|6.14|STAR B2V|0.67770|-0.08|200.62300|20
HR 2371|06 31 37.39|+15 54 11.9|6.40|STAR A8V|2.92560||196.54600|21
HR 2372|06 32 27.19|+32 27 16.9|5.87|STAR A3|10.51890|0.14|181.72400|-9
HR 2373|06 30 34.70|-13 08 53.2|6.16|STAR B1V|-10.51500|-0.15|222.42100|2
HR 2374|06 31 39.19|+11 47 31.9|6.65|STAR B6III|1.03560|-0.12|200.19900|10
HR 2375|06 31 48.29|+11 32 39.8|5.23|STAR A3V|0.95400|0.15|200.43600|-3
